Von,Nach,Dringlichkeit,Link_Projektbeschreibung,Verkehrsträger,Stimmen,Quote_notwendig,notwendig_ja,notwendig_nein,notwendig_weiss_nicht,betroffen_häufig,betroffe_selten,betroffe_nie
A 281,AS Bremen/Brinkum (Variante),VB,http://bvwp-projekte.de/strasse/B6n-G11-HB-NI-T1V-HB/B6n-G11-HB-NI-T1V-HB.html,strasse,221,0.91,201,15,5,159,57,5
OU Weimar-Ost,,VB,http://bvwp-projekte.de/strasse/B7-G10-TH-T1-TH/B7-G10-TH-T1-TH.html,strasse,162,0.759,123,35,4,102,43,17
Nohra,Weimar,VB,http://bvwp-projekte.de/strasse/B7-G10-TH-T2-TH/B7-G10-TH-T2-TH.html,strasse,130,0.654,85,36,9,93,30,7
Mönchenholzhausen,Nohra,VB,http://bvwp-projekte.de/strasse/B7-G10-TH-T3-TH/B7-G10-TH-T3-TH.html,strasse,145,0.69,100,37,8,93,48,4
Bestwig/Nuttlar (A 46),Brilon (B 480n),VB,http://bvwp-projekte.de/strasse/B7_B480-G10-NW-T1-NW/B7_B480-G10-NW-T1-NW.html,strasse,127,0.858,109,17,1,83,42,2
Otterndorf,Cadenberge,VB,http://bvwp-projekte.de/strasse/B73-G20-NI-T1-NI/B73-G20-NI-T1-NI.html,strasse,109,0.743,81,22,6,60,38,11
OU Cadenberge,,VB,http://bvwp-projekte.de/strasse/B73-G20-NI-T2-NI/B73-G20-NI-T2-NI.html,strasse,102,0.833,85,12,5,56,35,11
Cadenberge,Drochtersen (A 20/A 26),WB*,http://bvwp-projekte.de/strasse/B73-G20-NI-T3-NI/B73-G20-NI-T3-NI.html,strasse,223,0.821,183,32,8,121,77,25
OU Ritterhude,,VB,http://bvwp-projekte.de/strasse/B74-G10-NI/B74-G10-NI.html,strasse,103,0.573,59,34,10,45,38,20
OU Wolfenbüttel,,VB,http://bvwp-projekte.de/strasse/B79-G20-NI/B79-G20-NI.html,strasse,148,0.574,85,51,12,81,50,17
Dinslaken (A 59),Friedrichsfeld (K 12),VB,http://bvwp-projekte.de/strasse/B8-G10-NW-T1-NW/B8-G10-NW-T1-NW.html,strasse,101,0.752,76,24,1,62,37,2
OU Hennef/Uckerath,,VB,http://bvwp-projekte.de/strasse/B8-G20-NW/B8-G20-NW.html,strasse,127,0.748,95,27,5,91,29,7
