* skip=18 (so viele Zeilen beim Import dieser Datei überspringen, um als 1. Zeile die Zeile mit den Spaltentiteln einzulesen)
* Copyright:		Jeder kann diese Daten frei und unentgeltlich nutzen 
* Originalquelle: 	Statistisches Bundesamt nach IFG-Antrag von Spiegel Online (gestellt am 27. September 2013, stattgegeben am 08. November 2013 mit zweiwöchiger Fristüberschreitung). Am 08. November 2013 stellte das Statistische Bundesamt den Datensatz als PDF auch zum freien Download online unter https://ergebnisse.zensus2011.de/docs/Zensus_Gemeinden_relativer_Standardfehler.pdf
* Text-Codierung:	Latin-1 (ISO 8859-1)
*
** Spalten:
* 
* 1. RS_12:		Eindeutiger 12-stelliger Regionalschlüssel der Gemeinde (siehe https://de.wikipedia.org/wiki/Amtlicher_Gemeindeschl%C3%BCssel#Regionalschl.C3.BCssel)
* 2. Gemeinde: 		Name der Gemeinde
* 3. Land:		Bundesland, in dem die Gemeinde liegt
* 4. Kreis:		Kreis, in dem die Gemeinde liegt
* 5. Teil_Nr:		Nummer des Stadtteils, wenn die Stichprobe auf Stadtteil-Ebene erhoben wurde
* 6. Teil_Name:		Name des Stadtteils, wenn die Stichprobe auf Stadtteil-Ebene erhoben wurde; die Stadtteile wurden nicht immer benannt und entsprachen nicht immer echten Untergliederungen der Stadt  
* 			siehe auch gesonderte Datei "Stichprobenfehler_Zensus_Stadtteile_Erklaerung_Destatis_latin1.txt"
* 7. Fehler_Gem:	Stichprobenfehler ("einfacher relativer Standardfehler") der Gemeinde insgesamt in Prozent (auch, wenn die Stichprobe auf Stadtteil-Ebene erhoben wurde)
* 8. Fehler_Teil:	Stichprobenfehler des Stadtteils, wenn die Stichprobe auf Stadtteil-Ebene erhoben wurde
*
*
"RS_12";"Gemeinde";"Land";"Kreis";Teil_Nr;"Teil-Name";Fehler_Gem;Fehler_Teil
"091620000000";"München";"Bayern";"München, Landeshauptstadt";7;"nicht benannt";0,26;0,75
"064120000000";"Frankfurt am Main";"Hessen";"Frankfurt am Main, Stadt";1;"nicht benannt";0,26;0,56
"064120000000";"Frankfurt am Main";"Hessen";"Frankfurt am Main, Stadt";2;"nicht benannt";0,26;0,43
"064120000000";"Frankfurt am Main";"Hessen";"Frankfurt am Main, Stadt";3;"nicht benannt";0,26;0,35
"057700036036";"Preußisch Oldendorf";"Nordrhein-Westfalen";"Minden-Lübbecke";-;"-";0,26;0,26
"040110000000";"Bremen";"Bremen";"Bremen, Stadt";1;"Süd";0,26;0,47
"040110000000";"Bremen";"Bremen";"Bremen, Stadt";2;"Ost";0,26;0,49
"040110000000";"Bremen";"Bremen";"Bremen, Stadt";3;"NordWest";0,26;0,4
"146250240240";"Hoyerswerda";"Sachsen";"Bautzen";-;"-";0,27;0,27
"145220050050";"Brand-Erbisdorf";"Sachsen";"Mittelsachsen";-;"-";0,27;0,27
"145210530530";"Schneeberg";"Sachsen";"Erzgebirgskreis";-;"-";0,27;0,27
"130580034034";"Grevesmühlen";"Mecklenburg-Vorpommern";"Nordwestmecklenburg";-;"-";0,27;0,27
"097640000000";"Memmingen";"Bayern";"Memmingen";-;"-";0,27;0,27
"150010000000";"Dessau-Roßlau";"Sachsen-Anhalt";"Dessau-Roßlau, Stadt";-;"-";0,28;0,28
"147290140140";"Frohburg";"Sachsen";"Leipzig";-;"-";0,28;0,28
"146255207040";"Bischofswerda";"Sachsen";"Bautzen";-;"-";0,28;0,28
"145240330330";"Zwickau";"Sachsen";"Zwickau";-;"-";0,28;0,28
"145215116390";"Marienberg";"Sachsen";"Erzgebirgskreis";-;"-";0,28;0,28
"120720340340";"Rangsdorf";"Brandenburg";"Teltow-Fläming";-;"-";0,28;0,28
"120650136136";"Hennigsdorf";"Brandenburg";"Oberhavel";-;"-";0,28;0,28
"095730127127";"Stein";"Bayern";"Fürth";-;"-";0,28;0,28
"032540020020";"Harsum";"Niedersachsen";"Hildesheim";-;"-";0,28;0,28
"150020000000";"Halle (Saale)";"Sachsen-Anhalt";"Halle (Saale), Stadt";-;"-";0,29;0,29
"147130000000";"Leipzig";"Sachsen";"Leipzig, Stadt";1;"Althen-Kleinpösna, Baalsdorf, Burghausen-Rückmarsdorf, Böhlitz-Ehrenberg, Connewitz, Dölitz-Dösen, Engelsdorf, Gohlis-Mitte, Gohlis-Süd, Grünau-Siedlung, Hartmannsdorf- Knautnaundorf, Heiterblick, Holzhausen, Knautkleeberg- Knauthain, Leutzsch, Liebertwolkwitz, Lindenthal, Lützschena-Stahmeln, Marienbrunn, Miltitz, Mölkau, Plaußig-Portitz, Probstheida, Schleußig, Seehausen, Stötteritz, Südvorstadt, Thekla, Wiederitzsch, Zentrum, Zentrum-Nord, Zentrum-Nordwest, Zentrum-Ost, Zentrum- Süd, Zentrum-West";0,29;0,44
"147130000000";"Leipzig";"Sachsen";"Leipzig, Stadt";2;"Altlindenau, Anger-Crottendorf, Eutritzsch, Gohlis-Nord, Großzschocher, Grünau-Mitte, Grünau-Nord, Grünau-Ost, Kleinzschocher, Lausen-Grünau, Lindenau, Lößnig, Meusdorf, Mockau-Nord, Mockau-Süd, Möckern, Neulindenau, Neustadt-Neuschönefeld, Paunsdorf, Plagwitz, Reudnitz- Thonberg, Schönau, Schönefeld-Abtnaundorf, Schönefeld- Ost, Sellerhausen-Stünz, Volkmarsdorf, Wahren, Zentrum- Südost";0,29;0,39
"146260370370";"Niesky";"Sachsen";"Görlitz";-;"-";0,29;0,29
"145240200200";"Mülsen";"Sachsen";"Zwickau";-;"-";0,29;0,29
"145210460460";"Olbernhau";"Sachsen";"Erzgebirgskreis";-;"-";0,29;0,29
"095730120120";"Langenzenn";"Bayern";"Fürth";-;"-";0,29;0,29
"034590024024";"Melle";"Niedersachsen";"Osnabrück";-;"-";0,29;0,29
"031010000000";"Braunschweig";"Niedersachsen";"Braunschweig, Stadt";-;"-";0,29;0,29
"160670072072";"Waltershausen";"Thüringen";"Gotha";-;"-";0,3;0,3
"160520000000";"Gera";"Thüringen";"Gera, Stadt";-;"-";0,3;0,3
"150830531531";"Wanzleben-Börde";"Sachsen-Anhalt";"Börde";-;"-";0,3;0,3
"120640428428";"Rüdersdorf bei Berlin";"Brandenburg";"Märkisch-Oderland";-;"-";0,3;0,3
"083365003050";"Lörrach";"Baden-Württemberg";"Lörrach";-;"-";0,3;0,3
"051240000000";"Wuppertal";"Nordrhein-Westfalen";"Wuppertal, Stadt";-;"-";0,3;0,3
"150850330330";"Thale";"Sachsen-Anhalt";"Harz";-;"-";0,31;0,31
"147290260260";"Markkleeberg";"Sachsen";"Leipzig";-;"-";0,31;0,31
"147290160160";"Grimma";"Sachsen";"Leipzig";-;"-";0,31;0,31
"145230020020";"Auerbach/Vogtl.";"Sachsen";"Vogtlandkreis";-;"-";0,31;0,31
"130510004004";"Bad Doberan";"Mecklenburg-Vorpommern";"Bad Doberan";-;"-";0,31;0,31
"120640044044";"Bad Freienwalde (Oder)";"Brandenburg";"Märkisch-Oderland";-;"-";0,31;0,31
"120510000000";"Brandenburg an der Havel";"Brandenburg";"Brandenburg an der Havel, Stadt";-;"-";0,31;0,31
"081185002071";"Tamm";"Baden-Württemberg";"Ludwigsburg";-;"-";0,31;0,31
"160745052018";"Eisenberg";"Thüringen";"Saale-Holzland-Kreis";-;"-";0,32;0,32
"150830565565";"Wolmirstedt";"Sachsen-Anhalt";"Börde";-;"-";0,32;0,32
"150820241241";"Muldestausee";"Sachsen-Anhalt";"Anhalt-Bitterfeld";-;"-";0,32;0,32
"145240120120";"Hohenstein-Ernstthal";"Sachsen";"Zwickau";-;"-";0,32;0,32
"130570036036";"Grimmen";"Mecklenburg-Vorpommern";"Nordvorpommern";-;"-";0,32;0,32
"130030000000";"Rostock";"Mecklenburg-Vorpommern";"Rostock";-;"-";0,32;0,32
"097720202202";"Stadtbergen";"Bayern";"Augsburg";-;"-";0,32;0,32
"093730147147";"Neumarkt i.d. OPf.";"Bayern";"Neumarkt i.d.OPf.";-;"-";0,32;0,32
"059130000000";"Dortmund";"Nordrhein-Westfalen";"Dortmund, Stadt";1;"Innenstadt-Nord, Innenstadt-Ost, Innenstadt-West";0,32;0,84
"059130000000";"Dortmund";"Nordrhein-Westfalen";"Dortmund, Stadt";2;"Eving, Huckarde, Lütgendortmund, Mengede, Scharnhorst";0,32;0,36
"059130000000";"Dortmund";"Nordrhein-Westfalen";"Dortmund, Stadt";3;"Aplerbeck, Brackel, Hombruch, Hörde";0,32;0,48
"051700004004";"Alpen";"Nordrhein-Westfalen";"Wesel";-;"-";0,32;0,32
"150850370370";"Wernigerode";"Sachsen-Anhalt";"Harz";-;"-";0,33;0,33
"145240320320";"Wilkau-Haßlau";"Sachsen";"Zwickau";-;"-";0,33;0,33
"130615120004";"Bergen auf Rügen";"Mecklenburg-Vorpommern";"Rügen";-;"-";0,33;0,33
"120640472472";"Strausberg";"Brandenburg";"Märkisch-Oderland";-;"-";0,33;0,33
"095740152152";"Röthenbach a.d. Pegnitz";"Bayern";"Nürnberger Land";-;"-";0,33;0,33
"095640000000";"Nürnberg";"Bayern";"Nürnberg";1;"nicht benannt";0,33;0,91
"095640000000";"Nürnberg";"Bayern";"Nürnberg";2;"nicht benannt";0,33;0,57
"095640000000";"Nürnberg";"Bayern";"Nürnberg";3;"nicht benannt";0,33;0,41
"066310018018";"Neuhof";"Hessen";"Fulda";-;"-";0,33;0,33
"065320001001";"Aßlar";"Hessen";"Lahn-Dill-Kreis";-;"-";0,33;0,33
"051130000000";"Essen";"Nordrhein-Westfalen";"Essen, Stadt";1;"Bergerhausen, Bredeney, Burgaltendorf, Byfang, Fischlaken, Fulerum, Haarzopf, Heidhausen, Heisingen, Kettwig, Kupferdreh, Margarethenhöhe, Rellinghausen, Rüttenscheid, Schuir, Stadtwald, Werden, Überruhr-Hinsel, Überruhr-Holthausen";0,33;0,65
"051130000000";"Essen";"Nordrhein-Westfalen";"Essen, Stadt";2;"Altendorf, Bedingrade, Bergeborbeck, Bochold, Borbeck- Mitte, Dellwig, Frintrop, Frohnhausen, Gerschede, Holsterhausen, Huttrop, Schönebeck, Südostviertel, Südviertel";0,33;0,53
"051130000000";"Essen";"Nordrhein-Westfalen";"Essen, Stadt";3;"Altenessen-Nord, Altenessen-Süd, Freisenbruch, Frillendorf, Horst, Karnap, Katernberg, Kray, Leithe, Nordviertel, Ostviertel, Schonnebeck, Stadtkern, Steele, Stoppenberg, Vogelheim, Westviertel";0,33;0,53
"033550001001";"Adendorf";"Niedersachsen";"Lüneburg";-;"-";0,33;0,33
"031540014014";"Lehre";"Niedersachsen";"Helmstedt";-;"-";0,33;0,33
"160610115115";"Leinefelde-Worbis";"Thüringen";"Eichsfeld";-;"-";0,34;0,34
"160510000000";"Erfurt";"Thüringen";"Erfurt, Stadt";-;"-";0,34;0,34
"147300270270";"Schkeuditz";"Sachsen";"Nordsachsen";-;"-";0,34;0,34
"146270010010";"Coswig";"Sachsen";"Meißen";-;"-";0,34;0,34
"145110000000";"Chemnitz";"Sachsen";"Chemnitz, Stadt";-;"-";0,34;0,34
"120530000000";"Frankfurt (Oder)";"Brandenburg";"Frankfurt (Oder), Stadt";-;"-";0,34;0,34
"097750164164";"Weißenhorn";"Bayern";"Neu-Ulm";-;"-";0,34;0,34
"097750162162";"Vöhringen";"Bayern";"Neu-Ulm";-;"-";0,34;0,34
"094750154154";"Münchberg";"Bayern";"Hof";-;"-";0,34;0,34
"092720151151";"Waldkirchen";"Bayern";"Freyung-Grafenau";-;"-";0,34;0,34
"081190090090";"Remshalden";"Baden-Württemberg";"Rems-Murr-Kreis";-;"-";0,34;0,34
"051120000000";"Duisburg";"Nordrhein-Westfalen";"Duisburg, Stadt";1;"nicht benannt";0,34;0,33
"051120000000";"Duisburg";"Nordrhein-Westfalen";"Duisburg, Stadt";2;"nicht benannt";0,34;0,56
"033610006006";"Langwedel";"Niedersachsen";"Verden";-;"-";0,34;0,34
"032410001001";"Hannover";"Niedersachsen";"Region Hannover";1;"Innenstadt";0,34;0,7
"032410001001";"Hannover";"Niedersachsen";"Region Hannover";2;"Außenstadt";0,34;0,33
"160680051051";"Sömmerda";"Thüringen";"Sömmerda";-;"-";0,35;0,35
"146250480480";"Radeberg";"Sachsen";"Bautzen";-;"-";0,35;0,35
"145245104030";"Crimmitschau";"Sachsen";"Zwickau";-;"-";0,35;0,35
"145240080080";"Glauchau";"Sachsen";"Zwickau";-;"-";0,35;0,35
"120710076076";"Forst (Lausitz)";"Brandenburg";"Spree-Neiße";-;"-";0,35;0,35
"120660112112";"Großräschen";"Brandenburg";"Oberspreewald-Lausitz";-;"-";0,35;0,35
"120640380380";"Petershagen/Eggersdorf";"Brandenburg";"Märkisch-Oderland";-;"-";0,35;0,35
"120640136136";"Fredersdorf-Vogelsdorf";"Brandenburg";"Märkisch-Oderland";-;"-";0,35;0,35
"120540000000";"Potsdam";"Brandenburg";"Potsdam, Stadt";-;"-";0,35;0,35
"097775748121";"Buchloe";"Bayern";"Ostallgäu";-;"-";0,35;0,35
"095740123123";"Feucht";"Bayern";"Nürnberger Land";-;"-";0,35;0,35
"084160041041";"Tübingen";"Baden-Württemberg";"Tübingen";-;"-";0,35;0,35
"083260052052";"St. Georgen im Schwarzwald";"Baden-Württemberg";"Schwarzwald-Baar-Kreis";-;"-";0,35;0,35
"082260076076";"Sandhausen";"Baden-Württemberg";"Rhein-Neckar-Kreis";-;"-";0,35;0,35
"081260011011";"Bretzfeld";"Baden-Württemberg";"Hohenlohekreis";-;"-";0,35;0,35
"081185005049";"Marbach am Neckar";"Baden-Württemberg";"Ludwigsburg";-;"-";0,35;0,35
"081180081081";"Remseck am Neckar";"Baden-Württemberg";"Ludwigsburg";-;"-";0,35;0,35
"034590008008";"Belm";"Niedersachsen";"Osnabrück";-;"-";0,35;0,35
"034550007007";"Jever";"Niedersachsen";"Friesland";-;"-";0,35;0,35
"034540032032";"Lingen (Ems)";"Niedersachsen";"Emsland";-;"-";0,35;0,35
"031570004004";"Lahstedt";"Niedersachsen";"Peine";-;"-";0,35;0,35
"031550012012";"Uslar";"Niedersachsen";"Northeim";-;"-";0,35;0,35
"145240300300";"Werdau";"Sachsen";"Zwickau";-;"-";0,36;0,36
"120730572572";"Templin";"Brandenburg";"Uckermark";-;"-";0,36;0,36
"097770151151";"Marktoberdorf";"Bayern";"Ostallgäu";-;"-";0,36;0,36
"095730122122";"Oberasbach";"Bayern";"Fürth";-;"-";0,36;0,36
"092730137137";"Kelheim";"Bayern";"Kelheim";-;"-";0,36;0,36
"091710111111";"Altötting";"Bayern";"Altötting";-;"-";0,36;0,36
"081255001005";"Bad Friedrichshall";"Baden-Württemberg";"Heilbronn";-;"-";0,36;0,36
"081190093093";"Kernen im Remstal";"Baden-Württemberg";"Rems-Murr-Kreis";-;"-";0,36;0,36
"081185008073";"Vaihingen an der Enz";"Baden-Württemberg";"Ludwigsburg";-;"-";0,36;0,36
"055130000000";"Gelsenkirchen";"Nordrhein-Westfalen";"Gelsenkirchen, Stadt";-;"-";0,36;0,36
"051580036036";"Wülfrath";"Nordrhein-Westfalen";"Mettmann";-;"-";0,36;0,36
"160750085085";"Pößneck";"Thüringen";"Saale-Orla-Kreis";-;"-";0,37;0,37
"150890055055";"Calbe (Saale)";"Sachsen-Anhalt";"Salzlandkreis";-;"-";0,37;0,37
"150880195195";"Landsberg";"Sachsen-Anhalt";"Saalekreis";-;"-";0,37;0,37
"147300110110";"Eilenburg";"Sachsen";"Nordsachsen";-;"-";0,37;0,37
"146255216250";"Kamenz";"Sachsen";"Bautzen";-;"-";0,37;0,37
"130575725074";"Ribnitz-Damgarten";"Mecklenburg-Vorpommern";"Nordvorpommern";-;"-";0,37;0,37
"120690020020";"Bad Belzig";"Brandenburg";"Potsdam-Mittelmark";-;"-";0,37;0,37
"096770148148";"Karlstadt";"Bayern";"Main-Spessart";-;"-";0,37;0,37
"095720121121";"Eckental";"Bayern";"Erlangen-Höchstadt";-;"-";0,37;0,37
"094630000000";"Coburg";"Bayern";"Coburg";-;"-";0,37;0,37
"092730111111";"Abensberg";"Bayern";"Kelheim";-;"-";0,37;0,37
"091840145145";"Taufkirchen";"Bayern";"München";-;"-";0,37;0,37
"084150061061";"Reutlingen";"Baden-Württemberg";"Reutlingen";-;"-";0,37;0,37
"083355002028";"Gottmadingen";"Baden-Württemberg";"Konstanz";-;"-";0,37;0,37
"082265001013";"Eberbach";"Baden-Württemberg";"Rhein-Neckar-Kreis";-;"-";0,37;0,37
"081255003013";"Brackenheim";"Baden-Württemberg";"Heilbronn";-;"-";0,37;0,37
"081165009071";"Wendlingen am Neckar";"Baden-Württemberg";"Esslingen";-;"-";0,37;0,37
"081150045045";"Sindelfingen";"Baden-Württemberg";"Böblingen";-;"-";0,37;0,37
"051700048048";"Wesel";"Nordrhein-Westfalen";"Wesel";-;"-";0,37;0,37
"051700044044";"Voerde (Niederrhein)";"Nordrhein-Westfalen";"Wesel";-;"-";0,37;0,37
"032410014014";"Ronnenberg";"Niedersachsen";"Region Hannover";-;"-";0,37;0,37
"160710001001";"Apolda";"Thüringen";"Weimarer Land";-;"-";0,38;0,38
"160670029029";"Gotha";"Thüringen";"Gotha";-;"-";0,38;0,38
"160610045045";"Heilbad Heiligenstadt";"Thüringen";"Eichsfeld";-;"-";0,38;0,38
"150910060060";"Coswig (Anhalt)";"Sachsen-Anhalt";"Wittenberg";-;"-";0,38;0,38
"150840550550";"Weißenfels";"Sachsen-Anhalt";"Burgenlandkreis";-;"-";0,38;0,38
"146280110110";"Freital";"Sachsen";"Sächsische Schweiz-Osterzgebirge";-;"-";0,38;0,38
"145230320320";"Plauen";"Sachsen";"Vogtlandkreis";-;"-";0,38;0,38
"120720232232";"Luckenwalde";"Brandenburg";"Teltow-Fläming";-;"-";0,38;0,38
"120710160160";"Guben";"Brandenburg";"Spree-Neiße";-;"-";0,38;0,38
"120660196196";"Lübbenau/Spreewald";"Brandenburg";"Oberspreewald-Lausitz";-;"-";0,38;0,38
"120600181181";"Panketal";"Brandenburg";"Barnim";-;"-";0,38;0,38
"097750129129";"Illertissen";"Bayern";"Neu-Ulm";-;"-";0,38;0,38
"095760127127";"Hilpoltstein";"Bayern";"Roth";-;"-";0,38;0,38
"095740132132";"Hersbruck";"Bayern";"Nürnberger Land";-;"-";0,38;0,38
"095740112112";"Altdorf b. Nürnberg";"Bayern";"Nürnberger Land";-;"-";0,38;0,38
"094760145145";"Kronach";"Bayern";"Kronach";-;"-";0,38;0,38
"094730159159";"Rödental";"Bayern";"Coburg";-;"-";0,38;0,38
