FKZ;Referat;Behörde/PT;Arbeits-einheit;Förderart;Thema;Laufzeit von;Laufzeit bis; Bundesmittel 2012 ; IST-Ausgaben 2012 ;Zielland;
2512AHR003;MII6;BVA;IIA5;Direkte Projektförderung;Materielle Einzelfallhilfen ( Bargeldhilfen) für bedürftige Deutsche in Siebenbürgen;13.03.2012;31.12.2012;18100 ;18100 ;Rumänien;
2512AHR004;MII6;BVA;IIA5;Direkte Projektförderung;Materielle Einzelfallhilfen  Sathmar;01.01.2012;31.12.2012;16000 ;16000 ;Rumänien;
2512AHR005;MII6;BVA;IIA5;Direkte Projektförderung;"Folgekostenbewilligung für die anteiligen Betriebs-; Sach- und Personalkosten des Alten- und Pflegeheimes Dr. Carl Wolff in Sibiu (Hermannstadt) Rumänien für die Zeit vom 01.05.2012 bis 30.04.2013";01.05.2012;30.04.2013;499294 ;499294 ;Rumänien;
2512AHR006;MII6;BVA;IIA5;Direkte Projektförderung;"Folgekosten für die Kultur-; Alten- und Sozialeinrichtungen im Banat für den Zeitraum vom 01.05.2012 bis 30.04.2013";01.05.2012;30.04.2013;606369 ;606369 ;Rumänien;
2512AHR007;MII6;BVA;IIA5;Direkte Projektförderung;Gewährung von materiellen Einzelfallhilfen an besonders bedürftige Angehörige der deutschen MInderheit in der Region Banat (Rumänien);14.05.2012;31.12.2012;17100 ;17100 ;Rumänien;
2512AHR008;MII6;BVA;IIA5;Direkte Projektförderung;Gewährung von materiellen Einzelfallhilfen an ehemals nach Russland deportierte bedürftige Angehörige der deutschen Minderheit in Rumänien;14.05.2012;31.12.2012;18500 ;18500 ;Rumänien;
2512AHR009;MII6;BVA;IIA5;Direkte Projektförderung;"Förderung kleiner und mittlerer Betriebe in Handwerk; Gewerbe und Landwirtschaft von Angehörigen der deutschen Minderheit in Rumänien";30.05.2012;31.12.2012;464897 ;464803 ;Rumänien;
2512AHR010;MII6;BVA;IIA5;Direkte Projektförderung;Durchführung einer Fortbildungsveranstaltung für die Geschäftsführer/Mitarbeiter der Wirtschaftsstiftungen in Rumänien zur Fortführung der wirtschaftlichen Hilfen;01.07.2012;31.12.2012;5000 ;4225 ;Rumänien;
2512AHR011;MII6;BVA;IIA5;Direkte Projektförderung;Fördermaßnahmen für Kinder und Jugendliche in den Siedlungsgebieten der deutschen Minderheit in Rumänien im Jahr 2012;31.05.2012;31.12.2012;29802 ;29802 ;Rumänien;
2512AHR012;MII6;BVA;IIA5;Direkte Projektförderung;"Materielle Einzelfallhilfen an bedürftige Deutsche im Altreich; Buchenland und Bukarest (Rumänien) über die Deutsche Botschaft in Bukarest";21.05.2012;31.12.2012;28400 ;28400 ;Rumänien;
2512AHR013;MII6;BVA;IIA5;Direkte Projektförderung;Gewährung einer Sonderzuwendung im Rahmen der materiellen Einzelfallhilfen an ehemals nach Russland deportierte bedürftige Angehörige der deutschen Minderheit in Rumänien;25.09.2012;31.12.2012;32200 ;32200 ;Rumänien;
