Datum;Typ;Partei
23.01.2002;Gewinner;SPD
28.01.2002;Verlierer;SPD
29.01.2002;Verlierer;Union
04.02.2002;Gewinner;FDP
07.02.2002;Gewinner;Union
09.02.2002;Verlierer;SPD
18.02.2002;Gewinner;FDP
25.02.2002;Verlierer;Grüne
26.02.2002;Verlierer;Union
27.02.2002;Verlierer;Union
28.02.2002;Verlierer;Linke
06.03.2002;Gewinner;SPD
08.03.2002;Verlierer;SPD
09.03.2002;Gewinner;SPD
11.03.2002;Gewinner;FDP
15.03.2002;Gewinner;Grüne
18.03.2002;Verlierer;Linke
19.03.2002;Gewinner;SPD
22.03.2002;Gewinner;Union
25.03.2002;Verlierer;SPD
26.03.2002;Gewinner;Union
26.03.2002;Verlierer;Union
28.03.2002;Verlierer;Union
05.04.2002;Verlierer;FDP
06.04.2002;Verlierer;SPD
09.04.2002;Verlierer;SPD
15.04.2002;Gewinner;SPD
18.04.2002;Verlierer;SPD
22.04.2002;Verlierer;SPD
24.04.2002;Verlierer;SPD
30.04.2002;Verlierer;FDP
06.05.2002;Verlierer;SPD
10.05.2002;Verlierer;Union
11.05.2002;Gewinner;Union
11.05.2002;Verlierer;Grüne
13.05.2002;Gewinner;Union
16.05.2002;Verlierer;Grüne
25.05.2002;Gewinner;SPD
03.06.2002;Gewinner;Union
10.06.2002;Verlierer;Union
11.06.2002;Verlierer;SPD
14.06.2002;Gewinner;Union
15.06.2002;Verlierer;FDP
28.06.2002;Gewinner;Union
29.06.2002;Gewinner;SPD
04.07.2002;Verlierer;Union
08.07.2002;Gewinner;SPD
09.07.2002;Verlierer;SPD
15.07.2002;Verlierer;Linke
18.07.2002;Verlierer;Union
20.07.2002;Verlierer;FDP
22.07.2002;Verlierer;SPD
24.07.2002;Gewinner;Union
25.07.2002;Verlierer;SPD
26.07.2002;Gewinner;SPD
26.07.2002;Verlierer;SPD
08.08.2002;Verlierer;FDP
13.08.2002;Verlierer;Grüne
16.08.2002;Gewinner;SPD
16.08.2002;Verlierer;SPD
17.08.2002;Verlierer;Grüne
20.08.2002;Verlierer;Union
28.08.2002;Verlierer;SPD
30.08.2002;Gewinner;SPD
02.09.2002;Verlierer;SPD
03.09.2002;Gewinner;FDP
04.09.2002;Verlierer;SPD
07.09.2002;Gewinner;SPD
10.09.2002;Verlierer;Grüne
17.09.2002;Verlierer;Linke
18.09.2002;Verlierer;Union
19.09.2002;Verlierer;SPD
20.09.2002;Verlierer;Grüne
24.09.2002;Gewinner;Grüne
24.09.2002;Gewinner;SPD
24.09.2002;Verlierer;Union
24.09.2002;Verlierer;SPD
24.09.2002;Verlierer;SPD
28.09.2002;Verlierer;FDP
07.10.2002;Verlierer;SPD
10.10.2002;Verlierer;Linke
12.10.2002;Verlierer;Grüne
21.10.2002;Verlierer;SPD
23.10.2002;Verlierer;FDP
26.10.2002;Verlierer;SPD
29.10.2002;Verlierer;SPD
30.10.2002;Verlierer;SPD
02.11.2002;Verlierer;SPD
04.11.2002;Verlierer;Union
11.11.2002;Verlierer;Union
15.11.2002;Verlierer;SPD
20.11.2002;Gewinner;Union
20.11.2002;Verlierer;FDP
22.11.2002;Gewinner;SPD
22.11.2002;Verlierer;Grüne
23.11.2002;Verlierer;Union
25.11.2002;Gewinner;Union
26.11.2002;Verlierer;Union
